date_range,time,date_type,year,location,y_pred_in,y_pred_out,in_high_time,out_high_time,record_time
2024-08-11 - 2024-08-12,2024-08-11 07:00:00,周末,2024,舟山西,120.86409,130.58675,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 07:10:00,周末,2024,舟山西,131.23747,145.4157,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 07:20:00,周末,2024,舟山西,140.44972,158.58694,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 07:30:00,周末,2024,舟山西,156.15804,176.4707,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 07:40:00,周末,2024,舟山西,167.60757,188.82011,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 07:50:00,周末,2024,舟山西,179.29553,198.22057,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:00:00,周末,2024,舟山西,192.92839,210.49806,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:10:00,周末,2024,舟山西,206.20181,221.32927,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:20:00,周末,2024,舟山西,217.6403,230.86993,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:30:00,周末,2024,舟山西,226.45364,238.8404,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:40:00,周末,2024,舟山西,236.25676,248.5809,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 08:50:00,周末,2024,舟山西,244.51422,257.72842,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:00:00,周末,2024,舟山西,254.96951,270.43396,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:10:00,周末,2024,舟山西,261.64392,278.8797,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:20:00,周末,2024,舟山西,268.69156,288.61545,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:30:00,周末,2024,舟山西,270.85825,293.34958,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:40:00,周末,2024,舟山西,278.10257,303.60312,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 09:50:00,周末,2024,舟山西,278.67606,308.76718,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:00:00,周末,2024,舟山西,280.8684,316.02377,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:10:00,周末,2024,舟山西,283.60724,321.89807,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:20:00,周末,2024,舟山西,286.97617,327.87885,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:30:00,周末,2024,舟山西,290.5534,333.978,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:40:00,周末,2024,舟山西,289.88004,334.43796,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 10:50:00,周末,2024,舟山西,294.57367,342.27817,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:00:00,周末,2024,舟山西,295.0204,344.09137,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:10:00,周末,2024,舟山西,296.03983,346.63458,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:20:00,周末,2024,舟山西,297.8845,351.58905,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:30:00,周末,2024,舟山西,295.5623,349.82126,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:40:00,周末,2024,舟山西,293.6799,349.44528,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 11:50:00,周末,2024,舟山西,292.70715,350.04672,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 12:00:00,周末,2024,舟山西,291.093,351.92502,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 12:10:00,周末,2024,舟山西,293.75977,359.5864,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
2024-08-11 - 2024-08-12,2024-08-11 12:20:00,周末,2024,舟山西,294.37958,367.07785,2024-08-11 17:00:00,2024-08-11 14:00:00,2024-08-11
